City;MacroRegion;MicroRegion
Camargo;Noroeste;Passo Fundo
Cambará do Sul;Nordeste;Vacaria
Campestre da Serra;Nordeste;Vacaria
Campina das Missões;Noroeste;Cerro Largo
Campinas do Sul;Noroeste;Erechim
Campo Bom;Metropolitana;Porto Alegre
Campo Novo;Noroeste;Três Passos
Campos Borges;Noroeste;Cruz Alta
Candelária;Centro Oriental;Santa Cruz do Sul
Cândido Godói;Noroeste;Santa Rosa
Candiota;Sudeste;Serras de Sudeste
Canela;Metropolitana;Gramado-Canela
Canguçu;Sudeste;Pelotas
Canoas;Metropolitana;Porto Alegre
Canudos do Vale;Centro Oriental;Lajeado-Estrela
Capão Bonito do Sul;Nordeste;Vacaria
Capão da Canoa;Metropolitana;Osório
Capão do Cipó;Centro Ocidental;Santiago
Capão do Leão;Sudeste;Pelotas
Capela de Santana;Metropolitana;Montenegro
Capitão;Centro Oriental;Lajeado-Estrela
Capivari do Sul;Metropolitana;Osório
Caraá;Metropolitana;Osório
Carazinho;Noroeste;Carazinho
Carlos Barbosa;Nordeste;Caxias do Sul
Carlos Gomes;Noroeste;Erechim
Casca;Noroeste;Passo Fundo
Caseiros;Noroeste;Passo Fundo
Catuípe;Noroeste;Santo Ângelo
Caxias do Sul;Nordeste;Caxias do Sul
Centenário;Noroeste;Erechim
Cerrito;Sudeste;Pelotas
Cerro Branco;Centro Oriental;Cachoeira do Sul
Cerro Grande;Noroeste;Carazinho
Cerro Grande do Sul;Metropolitana;Camaquã
Cerro Largo;Noroeste;Cerro Largo
Chapada;Noroeste;Carazinho
Charqueadas;Metropolitana;São Jerônimo
Charrua;Noroeste;Passo Fundo
Chiapetta;Noroeste;Ijuí
Chuí;Sudeste;Litoral Lagunar
Chuvisca;Metropolitana;Camaquã
Cidreira;Metropolitana;Osório
Ciríaco;Noroeste;Passo Fundo
Colinas;Centro Oriental;Lajeado-Estrela
Colorado;Noroeste;Não-Me-Toque
Condor;Noroeste;Ijuí
Constantina;Noroeste;Frederico Westphalen
Coqueiro Baixo;Centro Oriental;Lajeado-Estrela
Coqueiros do Sul;Noroeste;Carazinho
Coronel Barros;Noroeste;Ijuí
Coronel Bicaco;Noroeste;Ijuí
Coronel Pilar;Nordeste;Caxias do Sul
Cotiporã;Nordeste;Caxias do Sul
Coxilha;Noroeste;Passo Fundo
Crissiumal;Noroeste;Três Passos
Cristal;Sudeste;Pelotas
Cristal do Sul;Noroeste;Frederico Westphalen
Cruz Alta;Noroeste;Cruz Alta
Cruzaltense;Noroeste;Erechim
Cruzeiro do Sul;Centro Oriental;Lajeado-Estrela
David Canabarro;Noroeste;Passo Fundo
Derrubadas;Noroeste;Três Passos
Dezesseis de Novembro;Noroeste;Santo Ângelo
Dilermando de Aguiar;Centro Ocidental;Santa Maria
Dois Irmãos;Metropolitana;Gramado-Canela
Dois Irmãos das Missões;Noroeste;Frederico Westphalen
Dois Lajeados;Nordeste;Guaporé
Dom Feliciano;Metropolitana;Camaquã
Dom Pedrito;Sudoeste;Campanha Meridional
Dom Pedro de Alcântara;Metropolitana;Osório
Dona Francisca;Centro Ocidental;Restinga Seca
Doutor Maurício Cardoso;Noroeste;Três Passos
Doutor Ricardo;Centro Oriental;Lajeado-Estrela
Eldorado do Sul;Metropolitana;Porto Alegre
Encantado;Centro Oriental;Lajeado-Estrela
Encruzilhada do Sul;Sudeste;Serras de Sudeste
Engenho Velho;Noroeste;Frederico Westphalen
Entre Rios do Sul;Noroeste;Erechim
Entre-Ijuís;Noroeste;Santo Ângelo
Erebango;Noroeste;Erechim
Erechim;Noroeste;Erechim
Ernestina;Noroeste;Passo Fundo
Erval Grande;Noroeste;Erechim
Erval Seco;Noroeste;Frederico Westphalen
Esmeralda;Nordeste;Vacaria
Esperança do Sul;Noroeste;Três Passos
Espumoso;Noroeste;Cruz Alta
Estação;Noroeste;Erechim
Estância Velha;Metropolitana;Porto Alegre
Esteio;Metropolitana;Porto Alegre
Estrela;Centro Oriental;Lajeado-Estrela
Estrela Velha;Centro Oriental;Santa Cruz do Sul
Eugênio de Castro;Noroeste;Santo Ângelo
Fagundes Varela;Nordeste;Caxias do Sul
Farroupilha;Nordeste;Caxias do Sul
Faxinal do Soturno;Centro Ocidental;Restinga Seca
Faxinalzinho;Noroeste;Erechim
Fazenda Vilanova;Centro Oriental;Lajeado-Estrela
Feliz;Metropolitana;Montenegro
Flores da Cunha;Nordeste;Caxias do Sul
Floriano Peixoto;Noroeste;Erechim
Fontoura Xavier;Noroeste;Soledade
Formigueiro;Centro Ocidental;Restinga Seca
Forquetinha;Centro Oriental;Lajeado-Estrela
Fortaleza dos Valos;Noroeste;Cruz Alta
Frederico Westphalen;Noroeste;Frederico Westphalen
Garibaldi;Nordeste;Caxias do Sul
Garruchos;Sudoeste;Campanha Ocidental
